type,title,description,organization,level,area_prefecture,area_city,industry,target_type,max_amount,subsidy_rate,source_url
補助金,"令和7年度やまがた省エネ健康住宅新築支援事業費補助金の募集について","山形県の公式サイトより自動取得された補助金・助成金情報です。",山形県,prefecture,山形県,,旅館業,法人,,,https://www.pref.yamagata.jp/180025/kurashi/sumai/jutakushien/r4rishihokyu_shinchiku.html
補助金,"令和7年度山形県訪問介護事業所連携体制構築支援事業費補助金について","山形県の公式サイトより自動取得された補助金・助成金情報です。",山形県,prefecture,山形県,,旅館業,法人,,,https://www.pref.yamagata.jp/090002/kenfuku/koreisha/jigyosha/houshuukaitei/houmonnkaigorenkeitaisei.html
補助金,"助成・補助金等","山形県の公式サイトより自動取得された補助金・助成金情報です。",山形県,prefecture,山形県,,旅館業,法人,,,https://www.pref.yamagata.jp/sangyo/jigyousha/joseikin.html
補助金,"令和7年度やまがた省エネ健康住宅新築支援事業費補助金の募集について","山形県の公式サイトより自動取得された補助金・助成金情報です。",山形県,prefecture,山形県,,旅館業,法人,,,https://www.pref.yamagata.jp/180025/kurashi/sumai/jutakushien/r4rishihokyu_shinchiku.html
